id,address,latLocation,lonLocation,pharmacyName
165,Rua Barão de Sabrosa 104,38.734315022536542,-9.128557254067148,Farmácia Eusil (Holon Barão de Sabrosa)
38,Rua Cristóvão Falcão 7B,38.737725408059113,-9.127516057245526,Farmácia Ibéria
237,Rua dos Sapadores 87,38.721074979421168,-9.127360370223633,Farmácia Branquinho
90,Rua do Jardim do Tabaco 94,38.711697944546941,-9.126955881309078,"Farmácia Cruz de Malta, Lda"
260,Avenida Mouzinho de Albuquerque 7A,38.730316636863442,-9.126661829478921,Farmácia Dalton
27,Rua Keil do Amaral - Lote 226 Lj 22,38.759792084870291,-9.124313895634298,Farmácia Santos Silva
223,Rua Cidade da Beira 46C,38.766239571497223,-9.124193231230379,Farmácia Lemos
257,Rua dos Caminhos de Ferro 102,38.713855741402064,-9.123641803986494,Farmácia Santa Apolónia
155,Calçada da Picheleira 140A,38.737700518397965,-9.123462370000064,Farmácia Marluz
252,Rua do Vale de Santo António 9,38.717641180973494,-9.122137224700275,Farmácia Alves de Carvalho
92,Rua Luís Cristino da Silva Lote 248,38.757297660204543,-9.121972594949744,Farmácia Almeida Vaz 
104,Rua Cidade de Vila Cabral Lote 43 Loja A,38.766096282368352,-9.120956081137169,Farmácia Higiene Olivais
16,Rua Cidade de Nampula - Lote 534 A,38.76360760600604,-9.120111211120863,Farmácia Reis Oliveira
1,Avenida François Mitterrand 39B,38.745603611078707,-9.118793925181478,Farmácia Pontes Leite
221,Praça do Norte 11A,38.777433083680755,-9.118644813827474,Farmácia Ascenso
244,"Avenida República da Bulgária Lote 12, Loja C",38.748627162069567,-9.116288625363723,Farmácia Bela Vista
168,Rua Cidade de Bolama 4 (Centro Comercial) 1º Loja 141,38.762301619562592,-9.113760961088627,Farmácia Chemist Store (Fernandes Borges)
109,Rua Actriz Palmira Bastos - Lote 42 D,38.754340330692251,-9.113640618281565,Farmácia Sacramento
46,Avenida João Paulo II - Lote 531 Lj B,38.746520447654689,-9.112515875443556,Farmácia Serejo Lda.
25,"Avenida Paulo VI, 14A",38.742900549635451,-9.111607066938609,Farmácia Santo António
119,Rua Rui de Sousa Lote 65A,38.751724573148302,-9.110772775483122,Farmácia Falcão
153,Rua da Margem 15B,38.730838430825244,-9.109903906075694,Farmácia Madre Deus
233,Calçada de Dom Gastão 29B,38.728545673805385,-9.109174491132974,Farmácia Conceição Lda.
61,Rua Eduarda Lapa Lote 36 - Loja,38.741877216502516,-9.108572175226548,Farmácia de Marvila
186,Rua de Manhiça - Lote 469 Lj A,38.759161738510713,-9.107761834653141,Farmácia Nova dos Olivais
199,Rua do Vale Formoso de Cima 79B,38.747238468553924,-9.104327555559044,Farmácia Barros Gouveia
20,Estrada de Moscavide 34A,38.773078354992244,-9.099962524812497,Farmácia São Paulo
201,Praça do Oriente 1.15.01 (Gare do Oriente) 0 G 220,38.76776449180754,-9.098396034535218,Farmácia Gare do Oriente
75,Alameda dos Oceanos 1B,38.755452536453319,-9.097230223417371,Farmácia Vila Rio
101,Avenida da Boa Esperança 8A R/C Loja S5 e 8B R/C Loja S7,38.775319591509792,-9.096699582290826,Farmácia Oriental de Lisboa
100,Avenida da Boa Esperança 8A R/C Loja S5 e 8B R/C Loja S7,38.775291252504722,-9.096600401995254,Farmácia Oriental de Lisboa
76,Largo dos Arautos 5A R/C,38.759964825220493,-9.095839828986909,Farmácia Expo Sul
